Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3501509;Alvinlândia;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3501509;Alvinlândia;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3501608;Americana;Total;Total;1,1;1,5;1,3;0,4;0;--
2019;Sudeste;SP;3501608;Americana;Urbana;Total;1,1;1,5;1,3;0,4;0;--
2019;Sudeste;SP;3501608;Americana;Total;Estadual;1,4;1,9;1,7;0,5;--;--
2019;Sudeste;SP;3501608;Americana;Urbana;Estadual;1,4;1,9;1,7;0,5;--;--
2019;Sudeste;SP;3501608;Americana;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;Total;Privada;0,2;0,2;0,2;0,1;0;--
2019;Sudeste;SP;3501608;Americana;Urbana;Privada;0,2;0,2;0,2;0,1;0;--
2019;Sudeste;SP;3501608;Americana;Total;Pública;1,4;1,9;1,7;0,5;--;--
2019;Sudeste;SP;3501608;Americana;Urbana;Pública;1,4;1,9;1,7;0,5;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;0;0;0;0;--;--
2019;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Privada;0;0;0;0;--;--
