Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3501400;Álvaro de Carvalho;35226476;MARIO COVAS GOVERNADOR EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501509;Alvinlândia;35033376;JOSE BONIFACIO DO COUTO;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501509;Alvinlândia;35278646;JOSE BONIFACIO DO COUTO EMEF;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35004407;EMEF PROFESSOR JONAS CORREA DE ARRUDA FILHO;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35011873;LUIZ HIPOLITO PROFESSOR;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35016949;OCTAVIO SOARES DE ARRUDA PROF;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35016950;RISOLETA LOPES ARANHA PROFESSORA;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35016962;SILVINO JOSE DE OLIVEIRA PROF;Urbana;Estadual;1,6;0,0;0,0;7,1;--;--
2019;Sudeste;SP;3501608;Americana;35016974;SAO VICENTE DE PAULO;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35016998;ALCINDO SOARES DO NASCIMENTO PROF;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35017139;MARIA JOSE DE MATTOS GOBBO PROFA;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35017140;MARIO PATARRA FRATTINI PROF;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35017152;MAURA ARRUDA GUIDOLIN PROFA;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35017164;JOAO DE CASTRO GONCALVES DR;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35017176;MAGI MONSENHOR;Urbana;Estadual;3,8;3,3;7,2;1,8;--;--
2019;Sudeste;SP;3501608;Americana;35017188;ARY MENEGATTO PROF;Urbana;Estadual;0,2;0,4;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35017197;DELMIRA DE OLIVEIRA LOPES PROFA;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35017206;HEITOR PENTEADO DR;Urbana;Estadual;1,1;2,8;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35017218;DILECTA CENEVIVA MARTINELLI PROFA;Urbana;Estadual;0,0;0,0;0,0;--;--;--
2019;Sudeste;SP;3501608;Americana;35017224;JOAO XXIII;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35017322;JOAO SOLIDARIO PEDROSO PROF;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35017334;OLYMPIA BARTH DE OLIVEIRA PROFA;Urbana;Estadual;1,5;1,0;2,5;1,0;--;--
2019;Sudeste;SP;3501608;Americana;35017346;GERMANO BENENCASE MAESTRO;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35037928;SINESIA MARTINI PROFA;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35039846;ANTONIO ZANAGA PREFEITO;Urbana;Estadual;2,8;6,0;2,3;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35042473;CONSTANTINO AUGUSTO PINKE PROF;Urbana;Estadual;0,5;0,0;2,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35042481;MARCELINO TOMBI PROF;Urbana;Estadual;--;--;--;--;--;--
